sample_number,maxcellindex_from_full,time_to_max,auc_0_12,auc_0_3,auc_3_6,auc_6_12,max_growth_rate,time_of_max_growth_rate,time_to_half_max,end_cellindex,decline_after_peak,biofilm_capacity_group,speed_group,cluster
192,0.34845,7.173333,2.9939000214,0.3275190053,0.6036136030000001,1.9865004217999997,0.23930180180180186,0.250139,4.170833,0.33065,0.017799999999999983,High biofilm capacity,Slow peak,3
84,0.32295,5.671944,2.8955444135750006,0.37959917895,0.7300156226750001,1.7048951006999993,0.18269599386620664,0.250139,2.669722,0.2752,0.047750000000000015,High biofilm capacity,Medium peak,1
189,0.3216,6.839722,2.4721018606749996,0.20179703297500004,0.4694548753000001,1.7357215074499996,0.17879964240071497,4.9213885,4.838055,0.27005,0.051549999999999985,High biofilm capacity,Medium peak,3
8,0.3135,9.009167,2.5348166328999993,0.26277467112499997,0.4570428826000001,1.7535147950249999,0.14106526739505465,0.250139,4.838055,0.3028,0.010699999999999987,High biofilm capacity,Slow peak,3
146,0.3111,6.506111,2.646463907675,0.41185843915,0.6310458086250001,1.5213883549,0.16739966520066957,0.4169445,1.334167,0.23395,0.07715,High biofilm capacity,Medium peak,1
104,0.30065,8.8425,2.2123387943249995,0.2429059648,0.3689356427000001,1.5545758086749997,0.1596343684109642,0.250139,6.005555,0.2743,0.026349999999999985,High biofilm capacity,Slow peak,3
164,0.2609,11.344167,1.3530020659125,0.14088636240000002,0.16899557802499998,1.0224627197125,0.11261261261261313,8.091249999999999,8.174722,0.2582,0.0027000000000000357,High biofilm capacity,Slow peak,3
220,0.25105,6.506111,2.0149701017249995,0.23034735474999998,0.38850298115000004,1.3374962811249997,0.11729976540046903,4.9213885,4.838055,0.2317,0.019350000000000006,High biofilm capacity,Medium peak,3
108,0.2381,5.838611,2.0058716768,0.29816008037499997,0.488343821825,1.1613023916499998,0.1593348667816753,0.250139,1.000833,0.17475,0.06335000000000002,High biofilm capacity,Medium peak,1
101,0.2352,6.672778,1.7736570187499998,0.15127186402500004,0.385626725725,1.1885658239999999,0.1123131109833237,4.420972000000001,4.170833,0.18515,0.05004999999999998,High biofilm capacity,Medium peak,3
169,0.2338,8.341667,1.8311928341499997,0.2160698885,0.32327862027500004,1.251253576275,0.09600038400153602,0.583611,3.336667,0.21895,0.014850000000000002,High biofilm capacity,Slow peak,3
60,0.2274,6.839722,1.859593841425,0.16964720182499998,0.37685531672500006,1.266632127675,0.11440962238834584,4.420972000000001,4.3375,0.21515,0.012249999999999983,High biofilm capacity,Medium peak,3
213,0.22675,6.172222,1.7852401494499994,0.16426251892500002,0.36909861407500005,1.2067502266499999,0.19617356718420542,4.420972000000001,4.504444,0.1982,0.02855000000000002,Moderate biofilm capacity,Medium peak,3
65,0.22335,5.671944,1.9342112412249997,0.261556472325,0.5468712671000001,1.06914774185,0.20096559325282734,0.250139,1.334167,0.1718,0.051549999999999985,Moderate biofilm capacity,Fast peak,1
232,0.2185,9.175833,1.1840778815750002,0.062056745225,0.06364820785,1.0462321413,0.1719129054479028,7.2568055000000005,6.839722,0.19375,0.024749999999999994,Moderate biofilm capacity,Slow peak,3
211,0.216366667,7.173333,1.8998670597274074,0.228985954669213,0.4500570454971296,1.1693871065221757,0.16522506349434543,0.250139,3.670555,0.1874,0.028966667,Moderate biofilm capacity,Slow peak,1
64,0.1921,4.3375,1.7936495367999996,0.25824859087499996,0.5252386508500001,0.9538702990749998,0.14885230975656508,0.250139,1.501111,0.1642,0.02789999999999998,Moderate biofilm capacity,Fast peak,1
244,0.1877,8.174722,1.3533113709,0.110760331225,0.18602055990000002,1.023413178975,0.11669976660046714,5.088055499999999,5.004722,0.1536,0.03410000000000002,Moderate biofilm capacity,Slow peak,3
109,0.16955,4.838055,1.321897551,0.10435268800000001,0.39530844402500015,0.7874196773749997,0.09284550507954764,3.587083,3.336667,0.1291,0.040450000000000014,Moderate biofilm capacity,Fast peak,1
130,0.16825,6.839722,1.1786379864249998,0.10383809494999999,0.171048040575,0.8747575873499999,0.12099865823270081,0.250139,5.171389,0.14435,0.023900000000000005,Moderate biofilm capacity,Medium peak,3
237,0.16635,6.672778,1.3206125052749993,0.16113323392499998,0.22783078505000004,0.8965518772000001,0.12968420548207782,4.420972000000001,4.838055,0.13855,0.02779999999999999,Moderate biofilm capacity,Medium peak,3
140,0.16035,5.338333,1.4805050979749999,0.2297510499,0.43553715017500005,0.7668648476999999,0.12908520222350012,0.250139,1.501111,0.1088,0.05155,Moderate biofilm capacity,Fast peak,1
143,0.16025,7.673889,1.32183886485,0.144570750275,0.2645473071,0.8781120925749999,0.11980065171554533,0.250139,4.504444,0.1444,0.015850000000000003,Moderate biofilm capacity,Slow peak,3
221,0.134,6.172222,1.16427865515,0.10354770572500001,0.32101335430000005,0.7054894039749998,0.08159983680032645,2.7530555000000003,2.836389,0.10915,0.02485000000000001,Moderate biofilm capacity,Medium peak,1
70,0.13125,4.838055,1.15071159365,0.15335497245000002,0.30303835642500004,0.6635972842749999,0.18569101015909528,0.250139,1.835278,0.1005,0.03075,Low biofilm capacity,Fast peak,1
236,0.12665,2.169167,1.0396799707749997,0.27667750842500005,0.20650518267500007,0.5234530076249999,0.12668918918918923,0.250139,0.500278,0.07685,0.04980000000000001,Low biofilm capacity,Fast peak,2
159,0.11505,5.004722,0.9276137569,0.1355223802,0.28801698977500007,0.474796495425,0.09254600345025878,0.250139,2.169167,0.0594,0.05565,Low biofilm capacity,Fast peak,1
83,0.11385,5.171389,0.9170030344499999,0.168416342075,0.26819372570000005,0.453184148825,0.12279566800843399,0.250139,0.666944,0.0655,0.048350000000000004,Low biofilm capacity,Fast peak,1
208,0.11,9.175833,0.6316290539249999,0.06351386852499999,0.0016078478499999991,0.5591379692499998,0.06929986140027745,6.0888884999999995,6.506111,0.0988,0.011200000000000002,Low biofilm capacity,Slow peak,3
196,0.10965,6.172222,0.6241928161750001,-0.004076335075000001,0.133473373275,0.4781990284749998,0.0931450067088365,0.250139,4.838055,0.07255,0.037099999999999994,Low biofilm capacity,Medium peak,1
116,0.1008,4.504444,0.7214030725000001,0.187275462,0.24903695047500005,0.25843723652499995,0.13178071688709989,0.250139,0.666944,0.03025,0.07055,Low biofilm capacity,Fast peak,2
230,0.0983,9.175833,0.6482592356749998,0.088873037525,0.06103981020000001,0.48486019340000003,0.11129977740044496,6.5894445,5.838611,0.07505,0.023249999999999993,Low biofilm capacity,Slow peak,3
69,0.0959,5.338333,0.6806402351999999,0.051183538599999995,0.19343862610000004,0.42072612519999986,0.08625646923519266,0.250139,3.8375,0.05825,0.037649999999999996,Low biofilm capacity,Fast peak,1
223,0.09385,9.175833,0.8203036559499999,0.13526710147500004,0.15820729987500004,0.5078740767,0.10362756373394674,4.420972000000001,0.500278,0.08485,0.009000000000000008,Low biofilm capacity,Slow peak,3
161,0.0707,3.503611,0.28867638507500015,0.125899470775,0.16781494597500002,-0.021235558325,0.0859569676059038,0.250139,0.333611,-0.02735,0.09805,Low biofilm capacity,Fast peak,2
53,0.0537,3.336667,0.23079300560000013,0.06363151635,0.10523423232500001,0.05105369067500002,0.1311005244020978,2.919722,0.666944,-0.01135,0.06505,Low biofilm capacity,Fast peak,2
